AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
HOSEIN R;4;138;1;45;8;hosein r;7,41333333333333e+02;5,20101939980236e-05;2,22219474165906e-04;NA
JALALI B;4;98;3;77;4;jalali b;8,22451002656473e+03;7,28173013908105e-05;3,94152227534535e-04;NA
JORISSEN F;4;236;0;0;15;jorissen f;2,14868636735981e+03;6,92904656319290e-05;2,87944273989932e-04;c06
LAFONT M;4;97;2;45;21;lafont m;4,17825013159114e+05;9,19709371838499e-05;1,05021713336703e-03;NA
MALARD F;4;409;2;306;31;malard f;6,16488374612633e+04;8,33680700291788e-05;5,00465167775477e-04;c01
MEYER ML;4;68;0;0;0;meyer ml;0,00000000000000e+00;5,96374045801527e-05;7,21461569287987e-05;NA
MISEROCCHI S;4;186;0;0;7;miserocchi s;3,46516901091876e+04;7,64818355640535e-05;4,58961534608178e-04;c02
MOINE O;4;45;0;0;2;moine o;2,33069241278148e+04;6,55952771400459e-05;4,83830873462948e-04;NA
MONOD G;4;240;2;132;9;monod g;3,41223994105757e+03;6,23130608175474e-05;2,79233236933709e-04;c09
MOUCHEL JM;4;65;0;0;2;mouchel jm;2,59738259503739e+04;7,25742071267871e-05;4,10917609631257e-04;NA
MOUTHON J;4;44;4;44;20;mouthon j;0,00000000000000e+00;5,99988000239995e-05;6,30882288641048e-05;c01
ODY A;4;124;1;43;7;ody a;1,35327668548853e+03;7,40137665605803e-05;3,43426922614600e-04;c02
ORIOL L;4;114;0;0;0;oriol l;1,18363820876426e+04;7,38443361394181e-05;5,20713722459322e-04;c03
PALANQUES A;4;338;1;203;52;palanques a;1,39109217899001e+04;7,87215618357868e-05;6,01762468104945e-04;c02
PAQUIER A;4;26;1;12;3;paquier a;3,53559780255546e+03;7,20772668300418e-05;2,38793424319235e-04;c08
PETER A;4;135;1;8;11;peter a;1,03745000000000e+04;3,89089918680207e-05;3,18405466981590e-04;c10
PETEUIL C;4;9;1;0;8;peteuil c;7,33826903214400e+03;6,52400835073069e-05;3,31754759465974e-04;c08
PUIG P;4;88;0;0;23;puig p;2,07339999756936e+04;8,12809883768187e-05;6,33153443233855e-04;c02
PUJO-PAY M;4;87;1;26;24;pujo-pay m;4,03439302450828e+04;8,53242320819113e-05;6,85596922651623e-04;NA
REYNARD E;4;79;0;0;6;reynard e;3,50000000000000e+01;9,09090909090909e-02;6,17409235057252e-04;NA
ROMERO-RAMIREZ A;4;38;1;13;3;romero-ramirez a;1,91933721506776e+02;6,14779294233370e-05;4,14810880179228e-04;c06
ROUX AL;4;176;0;0;12;roux al;3,79182033411264e+03;7,22438953908395e-05;2,88427155257659e-04;c01
ROUX C;4;157;0;0;7;roux c;3,32988121502361e+03;6,77966101694915e-05;2,75630253221593e-04;c01
ROUX G;4;138;0;0;4;roux g;1,49308294407559e+04;8,53460783476999e-05;5,15812179203049e-04;c01
RUIZ-VILLANUEVA V;4;58;4;58;8;ruiz-villanueva v;1,02743935661363e+04;7,36648250460405e-05;3,75487249986857e-04;NA
SABATES A;4;98;1;42;13;sabates a;1,46439754546251e+04;6,17474529175672e-05;4,34910477377674e-04;NA
SANDOZ A;4;50;0;0;3;sandoz a;2,58343626610837e+04;6,63614042073130e-05;4,48918763734200e-04;NA
SANTIAGO S;4;74;4;74;15;santiago s;3,69660714285714e+02;4,61723150798781e-05;2,69411128496900e-04;c10
SCHAAFF E;4;115;1;33;6;schaaff e;3,73888049090240e+03;7,03383273545755e-05;2,50296814540033e-04;c02
SCHMIDT N;4;238;3;149;7;schmidt n;4,47072579536622e+03;7,08666997377932e-05;2,59130348290971e-04;c03
SCHURCH M;4;17;3;16;8;schurch m;3,00000000000000e+00;2,50000000000000e-01;3,23135956527684e-04;NA
SOTO Y;4;100;1;18;12;soto y;5,99292689223550e+02;6,34477507772349e-05;2,72879681182055e-04;c03
STEINMANN P;4;138;0;0;3;steinmann p;7,41333333333333e+02;5,20101939980236e-05;2,22219474165860e-04;NA
TEDETTI M;4;170;1;0;8;tedetti m;3,15028610396029e+03;7,49288176232579e-05;2,63810751852716e-04;c03
TESI T;4;211;1;99;47;tesi t;1,58573876193967e+04;7,92581437742728e-05;4,79624535876379e-04;c02
TESSON M;4;101;1;25;21;tesson m;1,48165000000000e+04;5,35561268209083e-05;4,22254900686803e-04;NA
TISNERAT-LABORDE N;4;86;0;0;3;tisnerat-laborde n;6,87565987290393e+03;7,56200846944949e-05;4,76535993016512e-04;c06
TOLOSA I;4;581;2;372;20;tolosa i;0,00000000000000e+00;6,70870790285791e-05;2,33819900827262e-04;NA
TOUSSAINT F;4;83;2;19;8;toussaint f;2,67133137904794e+03;7,56086496295176e-05;4,54071913180607e-04;c06
TRONCZYNSKI J;4;401;1;50;10;tronczynski j;7,95551629324204e+04;7,70950582067689e-05;4,95327588085216e-04;NA
VENNEMANN TW;4;53;0;0;0;vennemann tw;1,48165000000000e+04;5,63761416168677e-05;3,64539455171019e-04;NA
VETION G;4;173;0;0;0;vetion g;1,00411054082001e+03;7,22804481387785e-05;2,98777273824416e-04;c06
WEHRLI B;4;103;0;0;0;wehrli b;3,54610000000000e+04;4,39599085633902e-05;4,38283081080499e-04;c10
YOUNES WAN;4;101;1;11;8;younes wan;3,85956015006278e+02;5,62967967122671e-05;2,45539833495483e-04;c04
ZEBRACKI M;4;35;4;35;18;zebracki m;9,55037787756679e+03;7,94344268806101e-05;2,80566191204861e-04;c05
ZYLBERBLAT M;4;11;1;0;1;zylberblat m;6,76658759662150e+03;7,16435019343745e-05;2,68753663162557e-04;c11
ADATTE T;3;80;0;0;2;adatte t;1,77722500000000e+04;6,14779294233370e-05;3,67699792061277e-04;NA
ALDRIDGE DC;3;86;0;0;0;aldridge dc;1,08963730306863e+02;6,79717237629146e-05;1,86793791361749e-04;c01
ALLIAU D;3;1;2;1;0;alliau d;1,61532679709083e+03;5,95344406739299e-05;2,73485791372632e-04;c08
ALLIOT E;3;115;1;23;18;alliot e;1,69928603786104e+04;6,43376439554784e-05;2,79000413122703e-04;c04
ANDRE S;3;2;1;0;2;andre s;3,15294042179301e+04;6,27706986378758e-05;2,75362006675998e-04;c08
ANTHONY EJ;3;39;1;3;18;anthony ej;8,77172079257047e+02;6,66444518493835e-05;1,78349124468911e-04;c05
ARGANT J;3;14;1;4;7;argant j;3,84450000000000e+04;6,36334712058543e-05;4,16933679620505e-04;NA
AUBERT D;3;46;0;0;3;aubert d;6,36795653023180e+03;8,07558749899055e-05;2,47764668478163e-04;c02
BABIC M;3;25;0;0;0;babic m;4,59449005110111e+03;7,14387769681383e-05;3,05793277987736e-04;c05
BADOUX A;3;238;1;99;2;badoux a;2,36960000000000e+04;4,98777993914908e-05;4,72060147775958e-04;c10
BARRY DA;3;23;0;0;0;barry da;6,03510566917718e+03;5,63761416168677e-05;3,32701272891471e-04;NA
BEFFY JL;3;267;0;0;0;beffy jl;3,50093190792482e+03;7,77363184079602e-05;2,35823149298392e-04;c01
BELLETTI B;3;75;2;74;8;belletti b;0,00000000000000e+00;7,35672772750681e-05;1,04656549342705e-04;c01
BELLIER O;3;155;0;0;3;bellier o;1,78407427578135e+04;6,71546571754751e-05;4,05204119585097e-04;NA
BENSOUSSAN N;3;129;0;0;1;bensoussan n;1,29994095441596e+03;5,67891419160657e-05;2,47268133873206e-04;c04
BERTRAND C;3;29;0;0;0;bertrand c;4,86569050748436e+03;8,63259668508287e-05;5,14699707554522e-04;c01
BESACIER-MONBERTRAND AL;3;53;2;32;7;besacier-monbertrand al;0,00000000000000e+00;7,52615338300595e-05;2,12763355997910e-04;c01
BIGOT JY;3;110;0;0;1;bigot jy;2,57056928501666e+02;5,60412463573190e-05;2,15326017550178e-04;NA
BLANC F;3;58;2;41;16;blanc f;8,36550019455335e+02;6,18926780961812e-05;1,70848965312839e-04;c03
BLANCKAERT K;3;130;0;0;3;blanckaert k;0,00000000000000e+00;4,52488687782805e-05;1,70272021822320e-04;NA
BONIFACIO P;3;35;3;35;14;bonifacio p;1,00151456444161e+03;6,77874186550976e-05;2,21120914774099e-04;c06
BORDOY R;3;146;1;42;3;bordoy r;0,00000000000000e+00;5,70320520132314e-05;1,40652913593946e-04;c01
BOUCHETTE F;3;75;0;0;0;bouchette f;8,40219001341138e+03;6,46495991724851e-05;3,67255201637072e-04;NA
BOUFFARD D;3;55;1;17;8;bouffard d;7,52303794066737e+04;6,26605677047434e-05;2,64937134321951e-04;c10
BOUISSET P;3;191;0;0;13;bouisset p;3,48259407647043e+03;7,53238927387767e-05;2,49411811096790e-04;c05
BOULBES N;3;63;1;16;4;boulbes n;7,40500000000000e+03;4,98802873104549e-05;3,26301633812891e-04;NA
BRANGER F;3;4;0;0;5;branger f;9,56657274368810e+04;8,63259668508287e-05;4,07904349778744e-04;c08
BRAUCHER R;3;104;0;0;3;braucher r;6,26780357876957e+04;7,44102983852965e-05;5,12496374735467e-04;c07
BRETHAUT C;3;41;2;21;6;brethaut c;5,93300000000000e+03;6,11134877467457e-05;3,07476327871068e-04;NA
BRUNETON H;3;79;1;49;20;bruneton h;5,02680899494809e+04;7,78149560345498e-05;5,05361202270548e-04;NA
BURLANDO P;3;146;0;0;3;burlando p;0,00000000000000e+00;5,70320520132314e-05;1,40652913593910e-04;c01
CALAFAT A;3;247;0;0;1;calafat a;5,29942580046242e+02;6,98031551026106e-05;2,97102565677919e-04;c02
CASTRO-JIMENEZ J;3;142;1;89;10;castro-jimenez j;1,19931779071995e+03;6,78656260604004e-05;2,32874033943087e-04;c03
CATTANEO F;3;61;2;37;12;cattaneo f;2,60669502071949e+04;7,61382670930410e-05;2,37311618325292e-04;c08
CAVALLI L;3;30;2;20;9;cavalli l;7,03408536880977e+01;5,11613629387087e-05;2,72161968854470e-04;c09
CELIE S;3;8;1;2;2;celie s;3,80851455844653e+03;5,38618980932888e-05;3,56505912713389e-04;c11
CHESSEL D;3;729;0;0;80;chessel d;2,88972557900908e+03;7,31528895391368e-05;2,42208433942431e-04;c01
CLAUZON G;3;110;0;0;25;clauzon g;2,57056928501666e+02;5,60412463573190e-05;2,15326017550109e-04;NA
CONAN P;3;60;0;0;31;conan p;4,60525451404791e+04;8,52587603376247e-05;7,66800790017968e-04;NA
CORELLA JP;3;75;1;38;10;corella jp;2,63092542230154e+04;4,63263226165107e-05;6,29196022090124e-04;c10
CORTIER B;3;1;1;1;4;cortier b;1,77770000000000e+04;6,35768326021998e-05;3,59278069304765e-04;NA
CORVI C;3;64;0;0;2;corvi c;3,69660714285714e+02;4,61723150798781e-05;2,69411128496855e-04;c10
COTTET J;3;0;3;0;0;cottet j;0,00000000000000e+00;4,99375780274657e-05;9,95878122737753e-05;c11
COURP T;3;179;0;0;31;courp t;2,16564325492648e+04;6,80364675466050e-05;4,12957839807038e-04;NA
DAUFRESNE M;3;320;3;320;45;daufresne m;4,65222332380751e+04;7,93084304861607e-05;5,49760391044622e-04;NA
DE;3;37;0;0;NA;de;1,24015624331603e+05;7,35618655289098e-05;5,97151697437006e-04;c05
DECHARME B;3;178;3;178;7;decharme b;7,40500000000000e+03;5,42976597708639e-05;1,99798769634537e-04;NA
DELHON C;3;59;1;26;4;delhon c;2,92796496807295e+03;7,04671975195546e-05;3,34724415819309e-04;c07
DELILE H;3;18;2;10;12;delile h;1,24491233151137e+04;7,79666302822392e-05;2,62623864210294e-04;c08
DESMALADES M;3;55;0;0;0;desmalades m;2,39757451306273e+02;6,15877317238406e-05;2,72061810880459e-04;c06
DETHIER M;3;10;3;10;8;dethier m;2,82238095238095e+03;6,61200740544829e-05;1,77339733389520e-04;c10
DEVIN S;3;111;2;48;15;devin s;2,37852501924505e+04;6,20655412115194e-05;4,33259754946511e-04;c01
DOUVILLE H;3;178;0;0;11;douville h;7,40500000000000e+03;5,42976597708639e-05;1,99798769634498e-04;NA
DRAMAIS G;3;30;1;0;4;dramais g;1,30385515873016e+02;7,22125938763720e-05;2,69283343173973e-04;c08
DURAND JD;3;209;1;157;7;durand jd;2,74625757798699e+03;6,95361935887629e-05;1,87871320590530e-04;c09
ELBAZPOULICHET F;3;189;1;91;30;elbazpoulichet f;3,46858458002750e+02;5,91121357214636e-05;2,83651852413738e-04;NA
FANGET AS;3;68;2;57;19;fanget as;3,01717261267996e+02;7,09068992412962e-05;3,00575738588899e-04;c06
FERNANDES MB;3;329;2;301;8;fernandes mb;2,35896106924790e+03;7,36377025036819e-05;1,72324108821966e-04;NA
FERRAND E;3;52;2;47;20;ferrand e;1,00459929995004e+03;7,80701069560465e-05;2,13301520656299e-04;c05
FERRARI A;3;23;0;0;0;ferrari a;5,93200000000000e+03;6,83807439824945e-05;2,36138214335330e-04;c07
FIORE J;3;69;1;25;3;fiore j;3,38333333333333e+01;4,39135780783418e-05;2,94008505620213e-04;c10
FLEURY TJ;3;184;0;0;0;fleury tj;4,81909779156331e+03;7,13521227256511e-05;2,50628422086563e-04;c05
FONTANA C;3;158;2;44;8;fontana c;2,12638417732326e+03;7,28703636231145e-05;1,99954016183133e-04;c03
FOURRE E;3;57;0;0;0;fourre e;2,96520000000000e+03;6,61375661375661e-05;2,52981679975511e-04;c02
FROMENTIN JM;3;200;0;0;5;fromentin jm;9,87477590599258e+03;6,67556742323097e-05;3,28305934421079e-04;c06
FUHRER J;3;60;1;36;4;fuhrer j;2,96600000000000e+03;6,10090903544628e-05;3,03936493802574e-04;NA
GAIROARD S;3;38;0;0;4;gairoard s;8,75047644359360e+03;8,50774204526119e-05;3,43951881940153e-04;c08
GANGLOFF A;3;84;1;19;9;gangloff a;8,59843552646471e+02;7,39754401538689e-05;2,70183977906803e-04;c02
GARNIER JM;3;187;1;19;11;garnier jm;9,92004123744088e+03;6,85541920888462e-05;3,16439099497665e-04;NA
GENSOUS B;3;96;1;26;25;gensous b;1,50000000000000e+00;4,62214005084354e-05;2,53643127468484e-04;NA
GIL J;3;60;0;0;0;gil j;2,20778199374104e+04;6,96621386276559e-05;3,31902567084960e-04;NA
GONTIER G;3;39;2;26;8;gontier g;3,23396012867515e+03;7,33514266852490e-05;1,81520636385329e-04;c05
GORINI C;3;83;1;48;6;gorini c;1,13914019747670e+03;5,89518363497023e-05;3,42779433474823e-04;NA
GRIMALT JO;3;184;0;0;14;grimalt jo;4,79679483173852e+04;7,48111019675320e-05;5,39307024002837e-04;NA
GUERRIN J;3;30;2;30;5;guerrin j;2,00000000000000e+00;3,33333333333333e-01;3,33752751471086e-04;NA
GUERTAULT L;3;18;3;18;11;guertault l;3,33333333333333e+00;6,52017995696681e-05;1,49714271386378e-04;c08
GUIGUE C;3;56;1;46;7;guigue c;1,28758667286912e+02;7,27749072119933e-05;1,47349972027492e-04;c03
GURRIARAN R;3;52;0;0;1;gurriaran r;1,00459929995004e+03;7,80701069560465e-05;2,13301520656263e-04;c05
HARMELIN-VIVIEN ML;3;335;0;0;0;harmelin-vivien ml;6,24068993562543e+03;6,77139761646804e-05;2,04446300819847e-04;c04
HERVANT F;3;57;0;0;6;hervant f;1,18570000000000e+04;6,15839389087326e-05;3,31999143215090e-04;c01
HINGRAY B;3;59;1;0;6;hingray b;2,96700000000000e+03;5,21539584854490e-05;2,21754000666205e-04;NA
HOEHENER P;3;68;0;0;0;hoehener p;1,82543003816014e+03;6,63834306956983e-05;3,13865538586619e-04;NA
HUGONNOT V;3;2;2;2;3;hugonnot v;2,96700000000000e+03;5,04668180671209e-05;2,51165015451419e-04;c01
IBELINGS BW;3;27;0;0;1;ibelings bw;4,46494355355703e+04;6,76132521974307e-05;4,16938617391680e-04;NA
JABOYEDOFF M;3;81;0;0;3;jaboyedoff m;8,00000000000000e+00;1,66666666666667e-01;3,59076787572438e-04;NA
JEAN-BAPTISTE P;3;57;3;57;11;jean-baptiste p;2,96520000000000e+03;6,61375661375661e-05;2,52981679975476e-04;c02
JOUET G;3;99;0;0;12;jouet g;5,71524618469579e+02;6,68047297748681e-05;2,62341247646654e-04;c06
KNISPEL S;3;61;2;61;3;knispel s;2,94608323413148e+04;6,65690320862735e-05;2,53187500120816e-04;c10
LABILLE J;3;22;0;0;6;labille j;2,18801067249217e+04;7,76096235933256e-05;3,57836752976351e-04;c08
LABRUNE C;3;76;3;76;15;labrune c;3,99332625245305e+03;6,40491897777493e-05;3,42138487241328e-04;c06
LAGADEC V;3;53;0;0;0;lagadec v;3,28947339478574e+04;8,07297973682086e-05;3,50324633272636e-04;c04
LANDON N;3;87;0;0;16;landon n;7,45714285714286e+00;7,33406674000733e-05;2,02954280707685e-04;c01
LANE SN;3;70;0;0;11;lane sn;6,02023752753503e+03;5,24906829037846e-05;3,67999391649285e-04;c10
LARBAIGT G;3;64;0;0;1;larbaigt g;3,69660714285714e+02;4,61723150798781e-05;2,69411128496810e-04;c10
LARGIADER CR;3;103;1;77;8;largiader cr;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
LE;3;103;0;0;NA;le;1,34107425938328e+05;7,59243793181991e-05;6,77000640953814e-04;NA
LEBEL I;3;9;3;9;9;lebel i;2,00784109542538e+02;5,78636731859738e-05;1,56917155618275e-04;c04
LEGRAND S;3;2;1;1;1;legrand s;3,34074550613649e+04;6,14439324116743e-05;3,37972301302092e-04;c11
LEHMANN A;3;132;0;0;3;lehmann a;2,62379005824241e+04;6,70780788838208e-05;4,51506322494821e-04;c01
LEREDDE Y;3;45;0;0;2;leredde y;5,64433290212041e+03;7,44934445768772e-05;3,40384595735872e-04;c02
LOGEZ M;3;13;1;1;3;logez m;3,15126629701819e+04;8,29806655049374e-05;4,01122953113700e-04;c01
LOPES C;3;50;2;35;6;lopes c;3,07305841285355e+02;7,40795614489962e-05;1,82893332986569e-04;c07
LORRE A;3;72;0;0;0;lorre a;2,03616095827809e+04;7,60167236792094e-05;3,49907107259412e-04;NA
MAHLER BJ;3;116;0;0;1;mahler bj;1,47697175735857e+02;7,88767944470737e-05;2,50257302697887e-04;c07
MAIRE A;3;144;0;0;6;maire a;8,47764161283306e+04;7,73514851485149e-05;7,27984290423719e-04;c04
MARC V;3;21;0;0;0;marc v;6,00532749622813e+03;6,99692135460397e-05;3,00726161114192e-04;c05
MARLE P;3;5;2;5;3;marle p;1,01183259923847e+03;6,87143544286401e-05;2,28618809175296e-04;c01
MARTIN E;3;78;0;0;6;martin e;2,88749281671149e+04;6,55995801626870e-05;4,02419753248702e-04;NA
MATHEVET R;3;102;1;48;7;mathevet r;1,70000000000000e+01;9,09090909090909e-02;3,69136233461886e-04;NA
MCCARTHY L;3;64;0;0;0;mccarthy l;3,69660714285714e+02;4,61723150798781e-05;2,69411128496763e-04;c10
MENNITI C;3;82;0;0;0;menniti c;3,72678979356009e+03;7,16845878136201e-05;3,80884967217601e-04;c02
METZGER E;3;92;0;0;1;metzger e;5,27288635574244e+02;6,99154023631406e-05;3,04110616463225e-04;c06
MICHOTEY V;3;98;0;0;2;michotey v;2,23442985920379e+02;6,04887490926688e-05;1,57747349916591e-04;c03
MILLET B;3;70;0;0;7;millet b;9,65437265574308e+03;7,14285714285714e-05;3,57710256898217e-04;c02
MINERO C;3;156;0;0;3;minero c;1,62820000000000e+04;5,61104253170239e-05;3,86900640515138e-04;NA
MOJTAHID M;3;199;2;168;19;mojtahid m;1,75829077936544e+03;6,91467293597013e-05;1,94919116689554e-04;c06
MORAND A;3;99;2;68;5;morand a;0,00000000000000e+00;5,33760341606619e-05;1,04531500652132e-04;c09
MOREAU C;3;5;1;0;2;moreau c;1,70184982950737e+04;7,16435019343745e-05;3,74827357623533e-04;c06
MOUTIN T;3;151;1;70;43;moutin t;3,11443531871009e+03;7,35781031565006e-05;2,09289375117162e-04;NA
NEVEUX J;3;76;0;0;19;neveux j;8,96164955954448e+02;7,22908985758693e-05;2,25621742945841e-04;c03
NICOLAS Y;3;32;3;32;20;nicolas y;0,00000000000000e+00;6,78840540357070e-05;1,04783219843225e-04;c04
OTTLE C;3;85;2;15;10;ottle c;2,91984096840893e+03;6,38406537282942e-05;3,51534583537358e-04;NA
PAGANO M;3;60;1;38;5;pagano m;5,69497018824297e+02;6,53253200940685e-05;1,53913515115735e-04;c03
PAUC H;3;68;1;1;24;pauc h;2,96700000000000e+03;6,20886626102074e-05;1,86273279901954e-04;c03
PECH N;3;27;0;0;0;pech n;1,29712488421532e+03;5,96551929845493e-05;2,13364274945406e-04;c09
PERGA ME;3;40;0;0;6;perga me;1,30826975636832e+05;7,50581700818134e-05;3,41887793277547e-04;NA
PERIANEZ R;3;60;3;60;13;perianez r;0,00000000000000e+00;NA;3,41273633200992e-05;NA
PICHAUD M;3;47;0;0;0;pichaud m;8,29061888287080e+04;7,62311327946333e-05;3,58492239611856e-04;NA
PIERREFEU G;3;18;0;0;1;pierrefeu g;4,04762833338033e+04;7,45323097562794e-05;2,86252125596567e-04;c08
PISCART C;3;93;1;46;9;piscart c;2,38121009908351e+04;7,52955349747760e-05;3,56427298805923e-04;c01
PONT B;3;35;0;0;4;pont b;6,63962466770165e+01;7,43826242189824e-05;2,20356059731976e-04;c01
POTTIER J;3;32;3;32;1;pottier j;5,93200000000000e+03;6,19233389064338e-05;1,83191214309889e-04;c01
POULET N;3;107;2;69;6;poulet n;1,48210000000000e+04;6,04631477114699e-05;4,07520588469979e-04;c09
POULIER G;3;44;1;34;28;poulier g;6,30316088217985e+03;8,34097923096172e-05;2,84944725881491e-04;c08
POZZATO L;3;44;1;9;5;pozzato l;1,35275385321398e+02;6,62866233594061e-05;2,18546505646186e-04;c06
RAPPLE B;3;33;0;0;4;rapple b;4,86160823885577e+03;8,20748522652659e-05;3,98708908468571e-04;c01
RASSMANN J;3;57;2;48;12;rassmann j;1,28640441735311e+02;6,54450261780105e-05;3,25055413224725e-04;c06
RAVAZZANI G;3;138;1;88;1;ravazzani g;1,48170000000000e+04;5,31490831783152e-05;4,22120897545137e-04;c01
REVIL A;3;181;1;46;3;revil a;2,36960000000000e+04;6,65823290498702e-05;4,10706057929278e-04;c05
REY V;3;34;0;0;0;rey v;3,76155939725370e+03;6,67824228663016e-05;2,22505473616886e-04;c03
REYSS JL;3;145;0;0;4;reyss jl;6,11244262427159e+04;8,06646769379689e-05;4,33504911619541e-04;c01
RIBEIRO ML;3;130;3;130;4;ribeiro ml;0,00000000000000e+00;4,52488687782805e-05;1,70272021822279e-04;NA
RICHOUX P;3;161;1;35;29;richoux p;5,99225547912829e+03;6,96621386276559e-05;3,48198444397926e-04;c01
ROGER MC;3;277;0;0;3;roger mc;7,87188306681393e+04;8,51933889930141e-05;3,47702304185464e-04;c07
ROSSEL D;3;64;0;0;1;rossel d;3,69660714285714e+02;4,61723150798781e-05;2,69411128496715e-04;c10
ROSTAN JC;3;51;2;45;34;rostan jc;2,24482963509310e+02;6,81616795037830e-05;1,26122610046142e-04;c01
ROUSSIEZ V;3;149;1;11;48;roussiez v;1,95082165375121e+04;7,88022064617809e-05;3,12065697267968e-04;c02
RUEDEL H;3;64;1;21;0;ruedel h;1,85000000000000e+01;7,14285714285714e-02;3,73085395678644e-04;NA
SAGNES P;3;64;0;0;10;sagnes p;1,09630145444733e+04;7,39043677481339e-05;3,93829048766329e-04;c09
SALVADOR PG;3;61;1;13;27;salvador pg;1,00692370351316e+04;7,54489210804285e-05;2,80358423768182e-04;NA
SANCHEZ-VIDAL A;3;73;0;0;12;sanchez-vidal a;2,27699115871354e+04;8,08865162177465e-05;5,75533060781579e-04;c02
SANI-KAST N;3;76;1;54;2;sani-kast n;4,44600000000000e+03;6,58457891617831e-05;2,95188196775305e-04;c08
SCHERINGER M;3;76;0;0;2;scheringer m;4,44600000000000e+03;6,58457891617831e-05;2,95188196775265e-04;c08
SCHLEISS A;3;9;0;0;6;schleiss a;1,15854155369732e+04;4,75963826749167e-05;3,39956323449988e-04;NA
SCHUBERT CJ;3;50;0;0;5;schubert cj;5,90600000000000e+03;4,39405923191845e-05;3,63965285528840e-04;c10
SEIGNEMARTIN G;3;45;0;0;0;seignemartin g;7,55448581153328e+03;8,40972163821378e-05;4,53641696408413e-04;c01
SERVE L;3;48;0;0;2;serve l;6,86839299708653e+03;6,87616035205941e-05;3,21917305324025e-04;c03
SICLET F;3;32;0;0;3;siclet f;2,88047509445042e+01;6,61550674781688e-05;2,07245961636228e-04;c02
SIDLER D;3;2;1;0;0;sidler d;1,48496863909109e+04;6,25429983113390e-05;3,71242934075264e-04;c08
SINGER MB;3;75;1;44;12;singer mb;4,00000000000000e+00;2,00000000000000e-01;3,13339654165973e-04;NA
SOUCHON Y;3;112;0;0;21;souchon y;8,23524317872389e+03;7,60340632603406e-05;3,55570964771982e-04;c11
SOULIGNAC F;3;34;2;34;3;soulignac f;1,13615651675098e+04;5,92979127134725e-05;4,61821568022765e-04;NA
STELLA JC;3;48;0;0;7;stella jc;3,67182916299361e+03;8,32015974706714e-05;4,50595269118022e-04;c01
STUTENBECKER L;3;70;2;37;9;stutenbecker l;5,84448786638611e+03;5,24879277766114e-05;3,44525584391567e-04;c10
TAL M;3;30;0;0;30;tal m;4,29367193864776e+04;7,92016473942658e-05;2,63699693503322e-04;c05
TARRADELLAS J;3;64;0;0;0;tarradellas j;3,69660714285714e+02;4,61723150798781e-05;2,69411128496666e-04;c10
TERRIER C;3;4;2;0;0;terrier c;3,08898698602243e+04;7,09572128006812e-05;3,73209691984172e-04;c11
THIBAULT D;3;134;0;0;1;thibault d;2,84154574075034e+04;6,91276095672612e-05;2,89187778694121e-04;c03
THOREL M;3;29;2;22;10;thorel m;4,86569050748436e+03;8,63259668508287e-05;5,14699707554403e-04;c01
USSEGLIOPOLATERA P;3;145;2;107;60;ussegliopolatera p;0,00000000000000e+00;5,71624556990968e-05;9,18770212076884e-05;c01
VAN METRE PC;3;116;1;9;12;van metre pc;1,47697175735857e+02;7,88767944470737e-05;2,50257302697847e-04;c07
